Sukhumi,Flying Fish Cove,"{""destination_addresses""=>[""Flying Fish Cove, Christmas Island""], ""origin_addresses""=>[""Sokhumi""], ""rows""=>[{""elements""=>[{""status""=>""ZERO_RESULTS""}]}], ""status""=>""OK""}",\n
Sukhumi,West Island,"{""destination_addresses""=>[""West Island, Fairhaven, MA 02719, USA""], ""origin_addresses""=>[""Sokhumi""], ""rows""=>[{""elements""=>[{""status""=>""ZERO_RESULTS""}]}], ""status""=>""OK""}",\n
Sukhumi,Bogotá,"{""destination_addresses""=>[""Bogotá, Bogota, Colombia""], ""origin_addresses""=>[""Sokhumi""], ""rows""=>[{""elements""=>[{""status""=>""ZERO_RESULTS""}]}], ""status""=>""OK""}",\n
Sukhumi,Moroni,"{""destination_addresses""=>[""Moroni, UT 84646, USA""], ""origin_addresses""=>[""Sokhumi""], ""rows""=>[{""elements""=>[{""status""=>""ZERO_RESULTS""}]}], ""status""=>""OK""}",\n
Sukhumi,Avarua,"{""destination_addresses""=>[""Avarua District, Cook Islands""], ""origin_addresses""=>[""Sokhumi""], ""rows""=>[{""elements""=>[{""status""=>""ZERO_RESULTS""}]}], ""status""=>""OK""}",\n
Sukhumi,San José,"{""destination_addresses""=>[""San Jose, CA, USA""], ""origin_addresses""=>[""Sokhumi""], ""rows""=>[{""elements""=>[{""status""=>""ZERO_RESULTS""}]}], ""status""=>""OK""}",\n
Sukhumi,Zagreb,"{""destination_addresses""=>[""Zagreb, Croatia""], ""origin_addresses""=>[""Sokhumi""], ""rows""=>[{""elements""=>[{""distance""=>{""text""=>""2,837 km"", ""value""=>2837045}, ""duration""=>{""text""=>""1 day 8 hours"", ""value""=>115915}, ""status""=>""OK""}]}], ""status""=>""OK""}",\n
Sukhumi,Havana,"{""destination_addresses""=>[""Havana, Cuba""], ""origin_addresses""=>[""Sokhumi""], ""rows""=>[{""elements""=>[{""status""=>""ZERO_RESULTS""}]}], ""status""=>""OK""}",\n
Sukhumi,Willemstad,"{""destination_addresses""=>[""Willemstad, Curaçao""], ""origin_addresses""=>[""Sokhumi""], ""rows""=>[{""elements""=>[{""status""=>""ZERO_RESULTS""}]}], ""status""=>""OK""}",\n
Sukhumi,Nicosia,"{""destination_addresses""=>[""Nicosia, Cyprus""], ""origin_addresses""=>[""Sokhumi""], ""rows""=>[{""elements""=>[{""distance""=>{""text""=>""1,567 km"", ""value""=>1567257}, ""duration""=>{""text""=>""1 day 2 hours"", ""value""=>93299}, ""status""=>""OK""}]}], ""status""=>""OK""}",\n
Sukhumi,Prague,"{""destination_addresses""=>[""Prague, Czechia""], ""origin_addresses""=>[""Sokhumi""], ""rows""=>[{""elements""=>[{""distance""=>{""text""=>""3,340 km"", ""value""=>3340062}, ""duration""=>{""text""=>""1 day 13 hours"", ""value""=>132489}, ""status""=>""OK""}]}], ""status""=>""OK""}",\n
Sukhumi,Yamoussoukro,"{""destination_addresses""=>[""Yamoussoukro, Côte d'Ivoire""], ""origin_addresses""=>[""Sokhumi""], ""rows""=>[{""elements""=>[{""distance""=>{""text""=>""10,669 km"", ""value""=>10668903}, ""duration""=>{""text""=>""5 days 6 hours"", ""value""=>454948}, ""status""=>""OK""}]}], ""status""=>""OK""}",\n
Sukhumi,Kinshasa,"{""destination_addresses""=>[""Kinshasa, Democratic Republic of the Congo""], ""origin_addresses""=>[""Sokhumi""], ""rows""=>[{""elements""=>[{""distance""=>{""text""=>""9,291 km"", ""value""=>9291330}, ""duration""=>{""text""=>""6 days 17 hours"", ""value""=>581175}, ""status""=>""OK""}]}], ""status""=>""OK""}",\n
Sukhumi,Copenhagen,"{""destination_addresses""=>[""Copenhagen, Denmark""], ""origin_addresses""=>[""Sokhumi""], ""rows""=>[{""elements""=>[{""distance""=>{""text""=>""3,289 km"", ""value""=>3288723}, ""duration""=>{""text""=>""1 day 19 hours"", ""value""=>156252}, ""status""=>""OK""}]}], ""status""=>""OK""}",\n
Sukhumi,Djibouti,"{""destination_addresses""=>[""Djibouti""], ""origin_addresses""=>[""Sokhumi""], ""rows""=>[{""elements""=>[{""distance""=>{""text""=>""5,974 km"", ""value""=>5974031}, ""duration""=>{""text""=>""4 days 13 hours"", ""value""=>392430}, ""status""=>""OK""}]}], ""status""=>""OK""}",\n
Sukhumi,Roseau,"{""destination_addresses""=>[""Roseau, MN 56751, USA""], ""origin_addresses""=>[""Sokhumi""], ""rows""=>[{""elements""=>[{""status""=>""ZERO_RESULTS""}]}], ""status""=>""OK""}",\n
Sukhumi,Santo Domingo,"{""destination_addresses""=>[""Santo Domingo, Dominican Republic""], ""origin_addresses""=>[""Sokhumi""], ""rows""=>[{""elements""=>[{""status""=>""ZERO_RESULTS""}]}], ""status""=>""OK""}",\n
Sukhumi,Dili,"{""destination_addresses""=>[""Díli, Timor-Leste""], ""origin_addresses""=>[""Sokhumi""], ""rows""=>[{""elements""=>[{""status""=>""ZERO_RESULTS""}]}], ""status""=>""OK""}",\n
Sukhumi,Hanga Roa,"{""destination_addresses""=>[""Hanga Roa, Easter Island, Valparaiso Region, Chile""], ""origin_addresses""=>[""Sokhumi""], ""rows""=>[{""elements""=>[{""status""=>""ZERO_RESULTS""}]}], ""status""=>""OK""}",\n
Sukhumi,Quito,"{""destination_addresses""=>[""Quito, Ecuador""], ""origin_addresses""=>[""Sokhumi""], ""rows""=>[{""elements""=>[{""status""=>""ZERO_RESULTS""}]}], ""status""=>""OK""}",\n
